filename,session_root,fixation_type,cell_type,em_filter_nm,position_annotation,acquisition_time,n_px_total,n_px_masked,otsu_thresh,G_cal_mean,S_cal_mean,G_cal_wmean,S_cal_wmean,G_cal_std,S_cal_std,M_wmean,tau_phi_ns,tau_mod_ns
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 10:52:59.392850,65536,18176,21.808795768909814,0.5558597066107428,0.32802088414699354,0.5623781357261456,0.32781988157268116,0.12698375361702516,0.09041541463017316,0.650949339270839,1.1596768989054935,2.3200324520686824
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 10:54:07.329168,65536,17679,18.99925017977963,0.5370152898035655,0.33012490372164904,0.544603763191086,0.32978428811324095,0.14061754863841677,0.09928752540338621,0.6366717643874665,1.2047015452968861,2.409599834860926
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 11:00:37.351133,65536,29006,7.276955585370413,0.38412687986338695,0.33679198977207886,0.39423217686608075,0.33593578006641905,0.2603045053864995,0.19423060211691243,0.5179496670579123,1.695252287117489,3.285620999772667
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 11:01:45.344086,65536,9256,11.56220666573694,0.4843494446864606,0.33022451275489884,0.49567830782137046,0.3283691781717855,0.19693809645454122,0.14095830539565143,0.5945782555878336,1.3179308293408483,2.6902804761959147
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 11:02:53.250075,65536,8766,14.302416508211213,0.5062541404705944,0.33289394667727057,0.5174296470578579,0.33265296707148634,0.17022917253492933,0.12205716342766512,0.6151352990650779,1.2789990954483452,2.5498697089308515
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 11:05:14.243167,65536,4088,15.489979200546221,0.5111735337425032,0.3246552713362268,0.5134766996616472,0.32324775121802235,0.1537856575341482,0.10893396631658164,0.6067515387396442,1.2524053546048894,2.60631639814559
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 11:06:22.121106,65536,8468,17.541610324044584,0.5044127062244205,0.323565786111232,0.5049409133205534,0.32352809121622594,0.14828374306305347,0.1045911349683552,0.5996963829730918,1.2746811950614232,2.6546804637122614
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 11:07:30.033550,65536,10490,20.556064603051336,0.4996864439684558,0.3334779342222468,0.5005087378317963,0.3340086227022295,0.13396688940946316,0.09732895632544822,0.6017231561818259,1.3276272550370694,2.640703708680913
15_KPC_live_posn3_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 11:13:43.312986,65536,15868,38.56160389462524,0.49810644203045384,0.3371756771234399,0.4974958465513467,0.3379487476821779,0.09387205539952526,0.0673638851920105,0.6014245367423858,1.3514236872071812,2.6427587613013297
15_KPC_live_posn3_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 11:14:51.232975,65536,15240,45.659947901947156,0.4979878006726248,0.34015995148625017,0.4970152550681772,0.34077007803379156,0.08972655204967693,0.062090503368962595,0.6026179634342488,1.3640235843829684,2.634554517728972
